,Выживший,Класс пассажира,Пол,Возраст,Кол-во родственников,Кол-во детей(?),Порт посадки,Год рождения
64,0,1,male,24.0,0,0,C,1998.0
65,1,3,male,24.0,1,1,C,1998.0
66,1,2,female,29.0,0,0,S,1993.0
67,0,3,male,19.0,0,0,S,2003.0
68,1,3,female,17.0,4,2,S,2005.0
69,0,3,male,26.0,2,0,S,1996.0
70,0,2,male,32.0,0,0,S,1990.0
71,0,3,female,16.0,5,2,S,2006.0
72,0,2,male,21.0,0,0,S,2001.0
73,0,3,male,26.0,1,0,C,1996.0
74,1,3,male,32.0,0,0,S,1990.0
75,0,3,male,25.0,0,0,S,1997.0
76,0,3,male,24.0,0,0,S,1998.0
77,0,3,male,24.0,0,0,S,1998.0
78,1,2,male,0.83,0,2,S,2021.17
79,1,3,female,30.0,0,0,S,1992.0
80,0,3,male,22.0,0,0,S,2000.0
81,1,3,male,29.0,0,0,S,1993.0
82,1,3,female,24.0,0,0,Q,1998.0
83,0,1,male,28.0,0,0,S,1994.0
84,1,2,female,17.0,0,0,S,2005.0
85,1,3,female,33.0,3,0,S,1989.0
86,0,3,male,16.0,1,3,S,2006.0
87,0,3,male,24.0,0,0,S,1998.0
88,1,1,female,23.0,3,2,S,1999.0
89,0,3,male,24.0,0,0,S,1998.0
90,0,3,male,29.0,0,0,S,1993.0
91,0,3,male,20.0,0,0,S,2002.0
92,0,1,male,46.0,1,0,S,1976.0
93,0,3,male,26.0,1,2,S,1996.0
94,0,3,male,59.0,0,0,S,1963.0
95,0,3,male,24.0,0,0,S,1998.0
96,0,1,male,71.0,0,0,C,1951.0
97,1,1,male,23.0,0,1,C,1999.0
98,1,2,female,34.0,0,1,S,1988.0
99,0,2,male,34.0,1,0,S,1988.0
100,0,3,female,28.0,0,0,S,1994.0
101,0,3,male,24.0,0,0,S,1998.0
102,0,1,male,21.0,0,1,S,2001.0
103,0,3,male,33.0,0,0,S,1989.0
104,0,3,male,37.0,2,0,S,1985.0
105,0,3,male,28.0,0,0,S,1994.0
106,1,3,female,21.0,0,0,S,2001.0
107,1,3,male,24.0,0,0,S,1998.0
108,0,3,male,38.0,0,0,S,1984.0
109,1,3,female,24.0,1,0,Q,1998.0
110,0,1,male,47.0,0,0,S,1975.0
111,0,3,female,14.5,1,0,C,2007.5
112,0,3,male,22.0,0,0,S,2000.0
113,0,3,female,20.0,1,0,S,2002.0
114,0,3,female,17.0,0,0,C,2005.0
115,0,3,male,21.0,0,0,S,2001.0
116,0,3,male,70.5,0,0,Q,1951.5
117,0,2,male,29.0,1,0,S,1993.0
118,0,1,male,24.0,0,1,C,1998.0
119,0,3,female,2.0,4,2,S,2020.0
120,0,2,male,21.0,2,0,S,2001.0
121,0,3,male,24.0,0,0,S,1998.0
122,0,2,male,32.5,1,0,C,1989.5
123,1,2,female,32.5,0,0,S,1989.5
124,0,1,male,54.0,0,1,S,1968.0
125,1,3,male,12.0,1,0,C,2010.0
126,0,3,male,24.0,0,0,Q,1998.0
127,1,3,male,24.0,0,0,S,1998.0
128,1,3,female,24.0,1,1,C,1998.0
129,0,3,male,45.0,0,0,S,1977.0
130,0,3,male,33.0,0,0,C,1989.0
131,0,3,male,20.0,0,0,S,2002.0
132,0,3,female,47.0,1,0,S,1975.0
133,1,2,female,29.0,1,0,S,1993.0
134,0,2,male,25.0,0,0,S,1997.0
135,0,2,male,23.0,0,0,C,1999.0
136,1,1,female,19.0,0,2,S,2003.0
137,0,1,male,37.0,1,0,S,1985.0
138,0,3,male,16.0,0,0,S,2006.0
139,0,1,male,24.0,0,0,C,1998.0
140,0,3,female,24.0,0,2,C,1998.0
141,1,3,female,22.0,0,0,S,2000.0
142,1,3,female,24.0,1,0,S,1998.0
143,0,3,male,19.0,0,0,Q,2003.0
144,0,2,male,18.0,0,0,S,2004.0
145,0,2,male,19.0,1,1,S,2003.0
146,1,3,male,27.0,0,0,S,1995.0
147,0,3,female,9.0,2,2,S,2013.0
148,0,2,male,36.5,0,2,S,1985.5
149,0,2,male,42.0,0,0,S,1980.0
150,0,2,male,51.0,0,0,S,1971.0
151,1,1,female,22.0,1,0,S,2000.0
152,0,3,male,55.5,0,0,S,1966.5
153,0,3,male,40.5,0,2,S,1981.5
154,0,3,male,24.0,0,0,S,1998.0
155,0,1,male,51.0,0,1,C,1971.0
156,1,3,female,16.0,0,0,Q,2006.0
157,0,3,male,30.0,0,0,S,1992.0
158,0,3,male,24.0,0,0,S,1998.0
159,0,3,male,24.0,8,2,S,1998.0
160,0,3,male,44.0,0,1,S,1978.0
161,1,2,female,40.0,0,0,S,1982.0
162,0,3,male,26.0,0,0,S,1996.0
163,0,3,male,17.0,0,0,S,2005.0
164,0,3,male,1.0,4,1,S,2021.0
165,1,3,male,9.0,0,2,S,2013.0
166,1,1,female,24.0,0,1,S,1998.0
167,0,3,female,45.0,1,4,S,1977.0
168,0,1,male,24.0,0,0,S,1998.0
169,0,3,male,28.0,0,0,S,1994.0
170,0,1,male,61.0,0,0,S,1961.0
171,0,3,male,4.0,4,1,Q,2018.0
172,1,3,female,1.0,1,1,S,2021.0
173,0,3,male,21.0,0,0,S,2001.0
174,0,1,male,56.0,0,0,C,1966.0
175,0,3,male,18.0,1,1,S,2004.0
176,0,3,male,24.0,3,1,S,1998.0
177,0,1,female,50.0,0,0,C,1972.0
178,0,2,male,30.0,0,0,S,1992.0
179,0,3,male,36.0,0,0,S,1986.0
180,0,3,female,24.0,8,2,S,1998.0
181,0,2,male,24.0,0,0,C,1998.0
182,0,3,male,9.0,4,2,S,2013.0
183,1,2,male,1.0,2,1,S,2021.0
184,1,3,female,4.0,0,2,S,2018.0
185,0,1,male,24.0,0,0,S,1998.0
186,1,3,female,24.0,1,0,Q,1998.0
187,1,1,male,45.0,0,0,S,1977.0
188,0,3,male,40.0,1,1,Q,1982.0
189,0,3,male,36.0,0,0,S,1986.0
190,1,2,female,32.0,0,0,S,1990.0
191,0,2,male,19.0,0,0,S,2003.0
192,1,3,female,19.0,1,0,S,2003.0
193,1,2,male,3.0,1,1,S,2019.0
194,1,1,female,44.0,0,0,C,1978.0
195,1,1,female,58.0,0,0,C,1964.0
196,0,3,male,24.0,0,0,Q,1998.0
197,0,3,male,42.0,0,1,S,1980.0
198,1,3,female,24.0,0,0,Q,1998.0
199,0,2,female,24.0,0,0,S,1998.0
200,0,3,male,28.0,0,0,S,1994.0
201,0,3,male,24.0,8,2,S,1998.0
202,0,3,male,34.0,0,0,S,1988.0
203,0,3,male,45.5,0,0,C,1976.5
204,1,3,male,18.0,0,0,S,2004.0
205,0,3,female,2.0,0,1,S,2020.0
206,0,3,male,32.0,1,0,S,1990.0
207,1,3,male,26.0,0,0,C,1996.0
208,1,3,female,16.0,0,0,Q,2006.0
209,1,1,male,40.0,0,0,C,1982.0
210,0,3,male,24.0,0,0,S,1998.0
211,1,2,female,35.0,0,0,S,1987.0
212,0,3,male,22.0,0,0,S,2000.0
213,0,2,male,30.0,0,0,S,1992.0
214,0,3,male,24.0,1,0,Q,1998.0
215,1,1,female,31.0,1,0,C,1991.0
216,1,3,female,27.0,0,0,S,1995.0
217,0,2,male,42.0,1,0,S,1980.0
218,1,1,female,32.0,0,0,C,1990.0
219,0,2,male,30.0,0,0,S,1992.0
220,1,3,male,16.0,0,0,S,2006.0
221,0,2,male,27.0,0,0,S,1995.0
222,0,3,male,51.0,0,0,S,1971.0
223,0,3,male,24.0,0,0,S,1998.0
224,1,1,male,38.0,1,0,S,1984.0
225,0,3,male,22.0,0,0,S,2000.0
226,1,2,male,19.0,0,0,S,2003.0
227,0,3,male,20.5,0,0,S,2001.5
228,0,2,male,18.0,0,0,S,2004.0
229,0,3,female,24.0,3,1,S,1998.0
230,1,1,female,35.0,1,0,S,1987.0
231,0,3,male,29.0,0,0,S,1993.0
232,0,2,male,59.0,0,0,S,1963.0
233,1,3,female,5.0,4,2,S,2017.0
234,0,2,male,24.0,0,0,S,1998.0
235,0,3,female,24.0,0,0,S,1998.0
236,0,2,male,44.0,1,0,S,1978.0
237,1,2,female,8.0,0,2,S,2014.0
238,0,2,male,19.0,0,0,S,2003.0
239,0,2,male,33.0,0,0,S,1989.0
240,0,3,female,24.0,1,0,C,1998.0
241,1,3,female,24.0,1,0,Q,1998.0
242,0,2,male,29.0,0,0,S,1993.0
243,0,3,male,22.0,0,0,S,2000.0
244,0,3,male,30.0,0,0,C,1992.0
245,0,1,male,44.0,2,0,Q,1978.0
246,0,3,female,25.0,0,0,S,1997.0
247,1,2,female,24.0,0,2,S,1998.0
248,1,1,male,37.0,1,1,S,1985.0
249,0,2,male,54.0,1,0,S,1968.0
250,0,3,male,24.0,0,0,S,1998.0
251,0,3,female,29.0,1,1,S,1993.0
252,0,1,male,62.0,0,0,S,1960.0
253,0,3,male,30.0,1,0,S,1992.0
254,0,3,female,41.0,0,2,S,1981.0
255,1,3,female,29.0,0,2,C,1993.0
256,1,1,female,24.0,0,0,C,1998.0
257,1,1,female,30.0,0,0,S,1992.0
258,1,1,female,35.0,0,0,C,1987.0
259,1,2,female,50.0,0,1,S,1972.0
260,0,3,male,24.0,0,0,Q,1998.0
261,1,3,male,3.0,4,2,S,2019.0
262,0,1,male,52.0,1,1,S,1970.0
263,0,1,male,40.0,0,0,S,1982.0
264,0,3,female,24.0,0,0,Q,1998.0
265,0,2,male,36.0,0,0,S,1986.0
266,0,3,male,16.0,4,1,S,2006.0
267,1,3,male,25.0,1,0,S,1997.0
268,1,1,female,58.0,0,1,S,1964.0
269,1,1,female,35.0,0,0,S,1987.0
270,0,1,male,24.0,0,0,S,1998.0
271,1,3,male,25.0,0,0,S,1997.0
272,1,2,female,41.0,0,1,S,1981.0
273,0,1,male,37.0,0,1,C,1985.0
274,1,3,female,24.0,0,0,Q,1998.0
275,1,1,female,63.0,1,0,S,1959.0
276,0,3,female,45.0,0,0,S,1977.0
277,0,2,male,24.0,0,0,S,1998.0
278,0,3,male,7.0,4,1,Q,2015.0
279,1,3,female,35.0,1,1,S,1987.0
280,0,3,male,65.0,0,0,Q,1957.0
281,0,3,male,28.0,0,0,S,1994.0
282,0,3,male,16.0,0,0,S,2006.0
283,1,3,male,19.0,0,0,S,2003.0
284,0,1,male,24.0,0,0,S,1998.0
285,0,3,male,33.0,0,0,C,1989.0
286,1,3,male,30.0,0,0,S,1992.0
287,0,3,male,22.0,0,0,S,2000.0
288,1,2,male,42.0,0,0,S,1980.0
289,1,3,female,22.0,0,0,Q,2000.0
290,1,1,female,26.0,0,0,S,1996.0
291,1,1,female,19.0,1,0,C,2003.0
292,0,2,male,36.0,0,0,C,1986.0
293,0,3,female,24.0,0,0,S,1998.0
294,0,3,male,24.0,0,0,S,1998.0
295,0,1,male,24.0,0,0,C,1998.0
296,0,3,male,23.5,0,0,C,1998.5
297,0,1,female,2.0,1,2,S,2020.0
298,1,1,male,24.0,0,0,S,1998.0
299,1,1,female,50.0,0,1,C,1972.0
300,1,3,female,24.0,0,0,Q,1998.0
301,1,3,male,24.0,2,0,Q,1998.0
302,0,3,male,19.0,0,0,S,2003.0
303,1,2,female,24.0,0,0,Q,1998.0
304,0,3,male,24.0,0,0,S,1998.0
305,1,1,male,0.92,1,2,S,2021.08
306,1,1,female,24.0,0,0,C,1998.0
307,1,1,female,17.0,1,0,C,2005.0
308,0,2,male,30.0,1,0,C,1992.0
309,1,1,female,30.0,0,0,C,1992.0
310,1,1,female,24.0,0,0,C,1998.0
311,1,1,female,18.0,2,2,C,2004.0
312,0,2,female,26.0,1,1,S,1996.0
313,0,3,male,28.0,0,0,S,1994.0
314,0,2,male,43.0,1,1,S,1979.0
315,1,3,female,26.0,0,0,S,1996.0
316,1,2,female,24.0,1,0,S,1998.0
317,0,2,male,54.0,0,0,S,1968.0
318,1,1,female,31.0,0,2,S,1991.0
319,1,1,female,40.0,1,1,C,1982.0
320,0,3,male,22.0,0,0,S,2000.0
321,0,3,male,27.0,0,0,S,1995.0
322,1,2,female,30.0,0,0,Q,1992.0
323,1,2,female,22.0,1,1,S,2000.0
324,0,3,male,24.0,8,2,S,1998.0
325,1,1,female,36.0,0,0,C,1986.0
326,0,3,male,61.0,0,0,S,1961.0
327,1,2,female,36.0,0,0,S,1986.0
328,1,3,female,31.0,1,1,S,1991.0
329,1,1,female,16.0,0,1,C,2006.0
330,1,3,female,24.0,2,0,Q,1998.0
331,0,1,male,45.5,0,0,S,1976.5
332,0,1,male,38.0,0,1,S,1984.0
333,0,3,male,16.0,2,0,S,2006.0
334,1,1,female,24.0,1,0,S,1998.0
335,0,3,male,24.0,0,0,S,1998.0
336,0,1,male,29.0,1,0,S,1993.0
337,1,1,female,41.0,0,0,C,1981.0
338,1,3,male,45.0,0,0,S,1977.0
339,0,1,male,45.0,0,0,S,1977.0
340,1,2,male,2.0,1,1,S,2020.0
341,1,1,female,24.0,3,2,S,1998.0
342,0,2,male,28.0,0,0,S,1994.0
343,0,2,male,25.0,0,0,S,1997.0
344,0,2,male,36.0,0,0,S,1986.0
345,1,2,female,24.0,0,0,S,1998.0
346,1,2,female,40.0,0,0,S,1982.0
347,1,3,female,24.0,1,0,S,1998.0
348,1,3,male,3.0,1,1,S,2019.0
349,0,3,male,42.0,0,0,S,1980.0
350,0,3,male,23.0,0,0,S,1999.0
351,0,1,male,24.0,0,0,S,1998.0
352,0,3,male,15.0,1,1,C,2007.0
353,0,3,male,25.0,1,0,S,1997.0
354,0,3,male,24.0,0,0,C,1998.0
355,0,3,male,28.0,0,0,S,1994.0
356,1,1,female,22.0,0,1,S,2000.0
357,0,2,female,38.0,0,0,S,1984.0
358,1,3,female,24.0,0,0,Q,1998.0
359,1,3,female,24.0,0,0,Q,1998.0
360,0,3,male,40.0,1,4,S,1982.0
361,0,2,male,29.0,1,0,C,1993.0
362,0,3,female,45.0,0,1,C,1977.0
363,0,3,male,35.0,0,0,S,1987.0
364,0,3,male,24.0,1,0,Q,1998.0
365,0,3,male,30.0,0,0,S,1992.0
366,1,1,female,60.0,1,0,C,1962.0
367,1,3,female,24.0,0,0,C,1998.0
368,1,3,female,24.0,0,0,Q,1998.0
369,1,1,female,24.0,0,0,C,1998.0
370,1,1,male,25.0,1,0,C,1997.0
371,0,3,male,18.0,1,0,S,2004.0
372,0,3,male,19.0,0,0,S,2003.0
373,0,1,male,22.0,0,0,C,2000.0
374,0,3,female,3.0,3,1,S,2019.0
375,1,1,female,24.0,1,0,C,1998.0
376,1,3,female,22.0,0,0,S,2000.0
377,0,1,male,27.0,0,2,C,1995.0
378,0,3,male,20.0,0,0,C,2002.0
379,0,3,male,19.0,0,0,S,2003.0
380,1,1,female,42.0,0,0,C,1980.0
381,1,3,female,1.0,0,2,C,2021.0
382,0,3,male,32.0,0,0,S,1990.0
383,1,1,female,35.0,1,0,S,1987.0
384,0,3,male,24.0,0,0,S,1998.0
385,0,2,male,18.0,0,0,S,2004.0
386,0,3,male,1.0,5,2,S,2021.0
387,1,2,female,36.0,0,0,S,1986.0
388,0,3,male,24.0,0,0,Q,1998.0
389,1,2,female,17.0,0,0,C,2005.0
390,1,1,male,36.0,1,2,S,1986.0
391,1,3,male,21.0,0,0,S,2001.0
392,0,3,male,28.0,2,0,S,1994.0
393,1,1,female,23.0,1,0,C,1999.0
394,1,3,female,24.0,0,2,S,1998.0
395,0,3,male,22.0,0,0,S,2000.0
396,0,3,female,31.0,0,0,S,1991.0
397,0,2,male,46.0,0,0,S,1976.0
398,0,2,male,23.0,0,0,S,1999.0
399,1,2,female,28.0,0,0,S,1994.0
400,1,3,male,39.0,0,0,S,1983.0
401,0,3,male,26.0,0,0,S,1996.0
402,0,3,female,21.0,1,0,S,2001.0
403,0,3,male,28.0,1,0,S,1994.0
404,0,3,female,20.0,0,0,S,2002.0
405,0,2,male,34.0,1,0,S,1988.0
406,0,3,male,51.0,0,0,S,1971.0
407,1,2,male,3.0,1,1,S,2019.0
408,0,3,male,21.0,0,0,S,2001.0
409,0,3,female,24.0,3,1,S,1998.0
410,0,3,male,24.0,0,0,S,1998.0
411,0,3,male,24.0,0,0,Q,1998.0
412,1,1,female,33.0,1,0,Q,1989.0
413,0,2,male,24.0,0,0,S,1998.0
414,1,3,male,44.0,0,0,S,1978.0
415,0,3,female,24.0,0,0,S,1998.0
416,1,2,female,34.0,1,1,S,1988.0
417,1,2,female,18.0,0,2,S,2004.0
418,0,2,male,30.0,0,0,S,1992.0
419,0,3,female,10.0,0,2,S,2012.0
420,0,3,male,24.0,0,0,C,1998.0
421,0,3,male,21.0,0,0,Q,2001.0
422,0,3,male,29.0,0,0,S,1993.0
423,0,3,female,28.0,1,1,S,1994.0
424,0,3,male,18.0,1,1,S,2004.0
425,0,3,male,24.0,0,0,S,1998.0
426,1,2,female,28.0,1,0,S,1994.0
427,1,2,female,19.0,0,0,S,2003.0
428,0,3,male,24.0,0,0,Q,1998.0
429,1,3,male,32.0,0,0,S,1990.0
430,1,1,male,28.0,0,0,S,1994.0
431,1,3,female,24.0,1,0,S,1998.0
432,1,2,female,42.0,1,0,S,1980.0
433,0,3,male,17.0,0,0,S,2005.0
434,0,1,male,50.0,1,0,S,1972.0
435,1,1,female,14.0,1,2,S,2008.0
436,0,3,female,21.0,2,2,S,2001.0
437,1,2,female,24.0,2,3,S,1998.0
438,0,1,male,64.0,1,4,S,1958.0
439,0,2,male,31.0,0,0,S,1991.0
440,1,2,female,45.0,1,1,S,1977.0
441,0,3,male,20.0,0,0,S,2002.0
442,0,3,male,25.0,1,0,S,1997.0
443,1,2,female,28.0,0,0,S,1994.0
444,1,3,male,24.0,0,0,S,1998.0
445,1,1,male,4.0,0,2,S,2018.0
446,1,2,female,13.0,0,1,S,2009.0
447,1,1,male,34.0,0,0,S,1988.0
448,1,3,female,5.0,2,1,C,2017.0
449,1,1,male,52.0,0,0,S,1970.0
450,0,2,male,36.0,1,2,S,1986.0
451,0,3,male,24.0,1,0,S,1998.0
452,0,1,male,30.0,0,0,C,1992.0
453,1,1,male,49.0,1,0,C,1973.0
454,0,3,male,24.0,0,0,S,1998.0
455,1,3,male,29.0,0,0,C,1993.0
456,0,1,male,65.0,0,0,S,1957.0
457,1,1,female,24.0,1,0,S,1998.0
458,1,2,female,50.0,0,0,S,1972.0
459,0,3,male,24.0,0,0,Q,1998.0
460,1,1,male,48.0,0,0,S,1974.0
461,0,3,male,34.0,0,0,S,1988.0
462,0,1,male,47.0,0,0,S,1975.0
463,0,2,male,48.0,0,0,S,1974.0
464,0,3,male,24.0,0,0,S,1998.0
465,0,3,male,38.0,0,0,S,1984.0
466,0,2,male,24.0,0,0,S,1998.0
467,0,1,male,56.0,0,0,S,1966.0
468,0,3,male,24.0,0,0,Q,1998.0
469,1,3,female,0.75,2,1,C,2021.25
470,0,3,male,24.0,0,0,S,1998.0
471,0,3,male,38.0,0,0,S,1984.0
472,1,2,female,33.0,1,2,S,1989.0
473,1,2,female,23.0,0,0,C,1999.0
474,0,3,female,22.0,0,0,S,2000.0
475,0,1,male,24.0,0,0,S,1998.0
476,0,2,male,34.0,1,0,S,1988.0
477,0,3,male,29.0,1,0,S,1993.0
478,0,3,male,22.0,0,0,S,2000.0
479,1,3,female,2.0,0,1,S,2020.0
480,0,3,male,9.0,5,2,S,2013.0
481,0,2,male,24.0,0,0,S,1998.0
482,0,3,male,50.0,0,0,S,1972.0
483,1,3,female,63.0,0,0,S,1959.0
484,1,1,male,25.0,1,0,C,1997.0
485,0,3,female,24.0,3,1,S,1998.0
486,1,1,female,35.0,1,0,S,1987.0
487,0,1,male,58.0,0,0,C,1964.0
488,0,3,male,30.0,0,0,S,1992.0
489,1,3,male,9.0,1,1,S,2013.0
490,0,3,male,24.0,1,0,S,1998.0
491,0,3,male,21.0,0,0,S,2001.0
492,0,1,male,55.0,0,0,S,1967.0
493,0,1,male,71.0,0,0,C,1951.0
494,0,3,male,21.0,0,0,S,2001.0
495,0,3,male,24.0,0,0,C,1998.0
496,1,1,female,54.0,1,0,C,1968.0
497,0,3,male,24.0,0,0,S,1998.0
498,0,1,female,25.0,1,2,S,1997.0
499,0,3,male,24.0,0,0,S,1998.0
500,0,3,male,17.0,0,0,S,2005.0
501,0,3,female,21.0,0,0,Q,2001.0
502,0,3,female,24.0,0,0,Q,1998.0
503,0,3,female,37.0,0,0,S,1985.0
504,1,1,female,16.0,0,0,S,2006.0
505,0,1,male,18.0,1,0,C,2004.0
506,1,2,female,33.0,0,2,S,1989.0
507,1,1,male,24.0,0,0,S,1998.0
508,0,3,male,28.0,0,0,S,1994.0
509,1,3,male,26.0,0,0,S,1996.0
510,1,3,male,29.0,0,0,Q,1993.0
511,0,3,male,24.0,0,0,S,1998.0
512,1,1,male,36.0,0,0,S,1986.0
513,1,1,female,54.0,1,0,C,1968.0
514,0,3,male,24.0,0,0,S,1998.0
515,0,1,male,47.0,0,0,S,1975.0
516,1,2,female,34.0,0,0,S,1988.0
517,0,3,male,24.0,0,0,Q,1998.0
518,1,2,female,36.0,1,0,S,1986.0
519,0,3,male,32.0,0,0,S,1990.0
520,1,1,female,30.0,0,0,S,1992.0
521,0,3,male,22.0,0,0,S,2000.0
522,0,3,male,24.0,0,0,C,1998.0
523,1,1,female,44.0,0,1,C,1978.0
524,0,3,male,24.0,0,0,C,1998.0
525,0,3,male,40.5,0,0,Q,1981.5
526,1,2,female,50.0,0,0,S,1972.0
527,0,1,male,24.0,0,0,S,1998.0
528,0,3,male,39.0,0,0,S,1983.0
529,0,2,male,23.0,2,1,S,1999.0
530,1,2,female,2.0,1,1,S,2020.0
531,0,3,male,24.0,0,0,C,1998.0
532,0,3,male,17.0,1,1,C,2005.0
533,1,3,female,24.0,0,2,C,1998.0
534,0,3,female,30.0,0,0,S,1992.0
535,1,2,female,7.0,0,2,S,2015.0
536,0,1,male,45.0,0,0,S,1977.0
537,1,1,female,30.0,0,0,C,1992.0
538,0,3,male,24.0,0,0,S,1998.0
539,1,1,female,22.0,0,2,C,2000.0
540,1,1,female,36.0,0,2,S,1986.0
541,0,3,female,9.0,4,2,S,2013.0
542,0,3,female,11.0,4,2,S,2011.0
543,1,2,male,32.0,1,0,S,1990.0
544,0,1,male,50.0,1,0,C,1972.0
545,0,1,male,64.0,0,0,S,1958.0
546,1,2,female,19.0,1,0,S,2003.0
547,1,2,male,24.0,0,0,C,1998.0
548,0,3,male,33.0,1,1,S,1989.0
549,1,2,male,8.0,1,1,S,2014.0
550,1,1,male,17.0,0,2,C,2005.0
551,0,2,male,27.0,0,0,S,1995.0
552,0,3,male,24.0,0,0,Q,1998.0
553,1,3,male,22.0,0,0,C,2000.0
554,1,3,female,22.0,0,0,S,2000.0
555,0,1,male,62.0,0,0,S,1960.0
556,1,1,female,48.0,1,0,C,1974.0
557,0,1,male,24.0,0,0,C,1998.0
558,1,1,female,39.0,1,1,S,1983.0
559,1,3,female,36.0,1,0,S,1986.0
560,0,3,male,24.0,0,0,Q,1998.0
561,0,3,male,40.0,0,0,S,1982.0
562,0,2,male,28.0,0,0,S,1994.0
563,0,3,male,24.0,0,0,S,1998.0
564,0,3,female,24.0,0,0,S,1998.0
565,0,3,male,24.0,2,0,S,1998.0
566,0,3,male,19.0,0,0,S,2003.0
567,0,3,female,29.0,0,4,S,1993.0
568,0,3,male,24.0,0,0,C,1998.0
569,1,3,male,32.0,0,0,S,1990.0
570,1,2,male,62.0,0,0,S,1960.0
571,1,1,female,53.0,2,0,S,1969.0
572,1,1,male,36.0,0,0,S,1986.0
573,1,3,female,24.0,0,0,Q,1998.0
574,0,3,male,16.0,0,0,S,2006.0
575,0,3,male,19.0,0,0,S,2003.0
576,1,2,female,34.0,0,0,S,1988.0
577,1,1,female,39.0,1,0,S,1983.0
578,0,3,female,24.0,1,0,C,1998.0
579,1,3,male,32.0,0,0,S,1990.0
580,1,2,female,25.0,1,1,S,1997.0
581,1,1,female,39.0,1,1,C,1983.0
582,0,2,male,54.0,0,0,S,1968.0
583,0,1,male,36.0,0,0,C,1986.0
584,0,3,male,24.0,0,0,C,1998.0
585,1,1,female,18.0,0,2,S,2004.0
586,0,2,male,47.0,0,0,S,1975.0
587,1,1,male,60.0,1,1,C,1962.0
588,0,3,male,22.0,0,0,S,2000.0
589,0,3,male,24.0,0,0,S,1998.0
590,0,3,male,35.0,0,0,S,1987.0
591,1,1,female,52.0,1,0,C,1970.0
592,0,3,male,47.0,0,0,S,1975.0
593,0,3,female,24.0,0,2,Q,1998.0
594,0,2,male,37.0,1,0,S,1985.0
595,0,3,male,36.0,1,1,S,1986.0
596,1,2,female,24.0,0,0,S,1998.0
597,0,3,male,49.0,0,0,S,1973.0
598,0,3,male,24.0,0,0,C,1998.0
599,1,1,male,49.0,1,0,C,1973.0
600,1,2,female,24.0,2,1,S,1998.0
